Topic,Usage Count,Percentage,Tasks Using
project-overview,38,18.9%,LC-01; PM-01; PM-02; PM-03; PM-04; PM-05; PM-06; PM-07; PM-08; PM-09; PM-10; PM-11; PM-12; UX-01; UX-02; UX-03; UX-04; UX-05; UX-06; UX-07; UX-08; UX-09; UX-10; UX-11; UX-12; UX-13; UX-14; UX-15; UX-16; UX-17; UX-18; UX-19; UX-21; UX-21b; UX-22; UX-23; UX-24; UX-25
infrastructure,30,14.9%,TL-01; TL-02; TL-03; TL-04; TL-05; TL-06; TL-07; TL-08; TL-09; TL-10; TL-11; TL-12; TL-13; TL-14; TL-15; TL-16; TL-17; TL-18; TL-19; TL-20; TL-21; TL-22; TL-23; TL-24; TL-25; TL-26; TL-27; TL-28; TL-29; TL-30
tech-standards,30,14.9%,TL-01; TL-02; TL-03; TL-04; TL-05; TL-06; TL-07; TL-08; TL-09; TL-10; TL-11; TL-12; TL-13; TL-14; TL-15; TL-16; TL-17; TL-18; TL-19; TL-20; TL-21; TL-22; TL-23; TL-24; TL-25; TL-26; TL-27; TL-28; TL-29; TL-30
ci-cd,29,14.4%,TL-01; TL-02; TL-03; TL-04; TL-05; TL-06; TL-07; TL-08; TL-10; TL-11; TL-12; TL-13; TL-14; TL-15; TL-16; TL-17; TL-18; TL-19; TL-20; TL-21; TL-22; TL-23; TL-24; TL-25; TL-26; TL-27; TL-28; TL-29; TL-30
db-schema,16,8.0%,BE-01; BE-02; BE-03; BE-04; BE-05; BE-06; BE-07; BE-08; BE-09; BE-10; BE-11; BE-12; BE-13; BE-14; DEBUG-01; TL-09
supabase-setup,15,7.5%,BE-01; BE-02; BE-03; BE-04; BE-05; BE-06; BE-07; BE-08; BE-09; BE-10; BE-11; BE-12; BE-13; BE-14; DEBUG-01
service-pattern,15,7.5%,BE-01; BE-02; BE-03; BE-04; BE-05; BE-06; BE-07; BE-08; BE-09; BE-10; BE-11; BE-12; BE-13; BE-14; DEBUG-01
design-system,6,3.0%,FE-01; FE-02; FE-03; FE-04; FE-05; FE-06
component-patterns,6,3.0%,FE-01; FE-02; FE-03; FE-04; FE-05; FE-06
ui-standards,6,3.0%,FE-01; FE-02; FE-03; FE-04; FE-05; FE-06
test-patterns,3,1.5%,QA-01; QA-02; QA-03
quality-standards,3,1.5%,QA-01; QA-02; QA-03
testing-strategy,3,1.5%,QA-01; QA-02; QA-03
test-pattern,1,0.5%,TEST-01

=== SUMMARY ===
Total Tasks Analyzed,93
Unique Topics,14
Unique Documents,15
Avg Topics per Task,2.2
Avg Context Length,4742
Most Active Topic,project-overview (38 uses)
Most Active Agent,task_preparation (91 tasks)
